"ds","actual","predicted","regime"
2014-01-01,146575,145801.102666044,"pre_easter"
2014-02-01,141878,142025.640684368,"pre_easter"
2014-03-01,133048,138090.525518291,"pre_easter"
2014-04-01,112631,110035.525520008,"pre_easter"
2014-05-01,90046,88594.7608679712,"pre_easter"
2014-06-01,103175,95499.0181836334,"pre_easter"
2014-07-01,133971,145379.330716268,"pre_easter"
2014-08-01,140319,138410.878733217,"pre_easter"
2014-09-01,105535,109515.260378487,"pre_easter"
2014-10-01,121576,111911.632148765,"pre_easter"
2014-11-01,119727,127339.496729693,"pre_easter"
2014-12-01,178672,177831.124546275,"pre_easter"
2015-01-01,156246,168606.064466515,"pre_easter"
2015-02-01,165541,169839.046516389,"pre_easter"
2015-03-01,157051,160669.079638223,"pre_easter"
2015-04-01,122217,129970.271136557,"pre_easter"
2015-05-01,113529,102579.1386384,"pre_easter"
2015-06-01,115467,115541.468150233,"pre_easter"
2015-07-01,175804,164289.516895962,"pre_easter"
2015-08-01,166610,160682.502362195,"pre_easter"
2015-09-01,143374,129073.932153792,"pre_easter"
2015-10-01,132280,129302.861032363,"pre_easter"
2015-11-01,144147,147472.425132687,"pre_easter"
2015-12-01,206114,205777.906717882,"pre_easter"
2016-01-01,194280,190421.487619365,"pre_easter"
2016-02-01,197697,198493.946906206,"pre_easter"
2016-03-01,192841,189425.693674688,"pre_easter"
2016-04-01,136367,145369.423911663,"pre_easter"
2016-05-01,125044,120954.073010927,"pre_easter"
2016-06-01,118038,117242.164431306,"pre_easter"
2016-07-01,209351,202610.422164344,"pre_easter"
2016-08-01,186288,181583.226137915,"pre_easter"
2016-09-01,148499,137626.09012421,"pre_easter"
2016-10-01,150419,144735.927803051,"pre_easter"
2016-11-01,167217,162184.330217901,"pre_easter"
2016-12-01,224791,224312.026008439,"pre_easter"
2017-01-01,219360,220972.330269095,"pre_easter"
2017-02-01,197517,205823.419561857,"pre_easter"
2017-03-01,188076,203596.891052311,"pre_easter"
2017-04-01,160249,158099.329433708,"pre_easter"
2017-05-01,121891,128543.925884937,"pre_easter"
2017-06-01,123351,130952.637680867,"pre_easter"
2017-07-01,205482,211430.259845791,"pre_easter"
2017-08-01,190928,194312.063495394,"pre_easter"
2017-09-01,145077,149878.823948719,"pre_easter"
2017-10-01,152429,154763.363411579,"pre_easter"
2017-11-01,167511,174042.353876951,"pre_easter"
2017-12-01,244536,240992.641581066,"pre_easter"
2018-01-01,238924,231992.359385905,"pre_easter"
2018-02-01,235618,223839.458664428,"pre_easter"
2018-03-01,233382,215806.277542615,"pre_easter"
2018-04-01,180429,170391.465390445,"pre_easter"
2018-05-01,129466,136000.818370493,"pre_easter"
2018-06-01,146828,145311.598900534,"pre_easter"
2018-07-01,217829,219364.466052718,"pre_easter"
2018-08-01,200359,207083.593587951,"pre_easter"
2018-09-01,149087,162491.944924046,"pre_easter"
2018-10-01,153123,164738.625689418,"pre_easter"
2018-11-01,195582,185950.156955991,"pre_easter"
2018-12-01,253169,257707.921127295,"pre_easter"
2019-01-01,244239,242454.598573386,"pre_easter"
2019-02-01,252033,242377.545371742,"pre_easter"
2019-03-01,244328,227748.121536999,"pre_easter"
2019-04-01,166975,166975,"easter_covid"
2019-05-01,37802,37801.9999999999,"easter_covid"
2019-06-01,63072,63071.9999999999,"easter_covid"
2019-07-01,115701,115701,"easter_covid"
2019-08-01,143587,143587,"easter_covid"
2019-09-01,108575,108575,"easter_covid"
2019-10-01,118743,118743,"easter_covid"
2019-11-01,176984,176984,"easter_covid"
2019-12-01,241663,241663,"easter_covid"
2020-01-01,228434,228434,"easter_covid"
2020-02-01,207507,207507,"easter_covid"
2020-03-01,NA,177872.034189418,"easter_covid"
2020-04-01,NA,153936.109234312,"easter_covid"
2020-05-01,NA,56044.6842125691,"easter_covid"
2020-06-01,NA,20781.664953616,"easter_covid"
2020-07-01,NA,80316.1339553365,"easter_covid"
2020-08-01,NA,121944.867609087,"easter_covid"
2020-09-01,NA,71799.0399435702,"easter_covid"
2020-10-01,NA,95334.9117346207,"easter_covid"
2020-11-01,NA,161141.248431867,"easter_covid"
2020-12-01,NA,214938.884671388,"easter_covid"
2021-01-01,NA,156492.011125841,"easter_covid"
2021-02-01,NA,221851.155864318,"easter_covid"
2021-03-01,NA,160337.181063382,"easter_covid"
2021-04-01,NA,118802.519347564,"easter_covid"
2021-05-01,NA,21382.5558693798,"easter_covid"
2021-06-01,NA,-3166.53314251467,"easter_covid"
2021-07-01,NA,52548.0010095951,"easter_covid"
2021-08-01,NA,89552.1152938978,"easter_covid"
2021-09-01,NA,44415.0710562859,"easter_covid"
2021-10-01,NA,63543.9886222241,"easter_covid"
2021-11-01,NA,126714.01921405,"easter_covid"
2021-12-01,NA,183991.402758928,"easter_covid"
2022-01-01,82327,93850.2325465402,"post_covid"
2022-02-01,96507,87813.6034422494,"post_covid"
2022-03-01,106500,82267.7329421079,"post_covid"
2022-04-01,62980,56526.7345690697,"post_covid"
2022-05-01,30207,37914.1117470593,"post_covid"
2022-06-01,32856,38976.6825840249,"post_covid"
2022-07-01,47293,52545.2700571617,"post_covid"
2022-08-01,37760,45866.6472743329,"post_covid"
2022-09-01,29802,41486.0151543465,"post_covid"
2022-10-01,42026,46979.5495855662,"post_covid"
2022-11-01,59759,68491.6805987239,"post_covid"
2022-12-01,91961,98859.2564756918,"post_covid"
2023-01-01,102545,108501.282602155,"post_covid"
2023-02-01,107639,118650.611456764,"post_covid"
2023-03-01,125495,125380.626289879,"post_covid"
2023-04-01,105498,97765.249169463,"post_covid"
2023-05-01,83309,71679.0785594313,"post_covid"
2023-06-01,100388,88010.2361775969,"post_covid"
2023-07-01,143039,129886.836371853,"post_covid"
2023-08-01,136405,131729.744354755,"post_covid"
2023-09-01,111938,110747.239029452,"post_covid"
2023-10-01,109199,112397.878851756,"post_covid"
2023-11-01,151496,153267.927044765,"post_covid"
2023-12-01,210352,206413.288840582,"post_covid"
2024-01-01,208253,205775.853794998,"post_covid"
2024-02-01,218350,213645.640911182,"post_covid"
2024-03-01,209181,206078.747449034,"post_covid"
2024-04-01,148867,152781.663353465,"post_covid"
2024-05-01,112128,117923.552137201,"post_covid"
2024-06-01,113470,118703.990328045,"post_covid"
2024-07-01,187810,185063.750128951,"post_covid"
2024-08-01,164609,169362.496290417,"post_covid"
2024-09-01,122140,128349.341175891,"post_covid"
2024-10-01,135907,139431.616712801,"post_covid"
2024-11-01,184158,184522.215200132,"post_covid"
2024-12-01,248592,236122.116638839,"post_covid"
2025-01-01,252761,247036.116628465,"post_covid"
2025-02-01,240217,241388.694059677,"post_covid"
2025-03-01,229298,239585.398972257,"post_covid"
2025-04-01,174608,176785.812034563,"post_covid"
2025-05-01,132919,131571.644781646,"post_covid"
2025-06-01,138241,138800.31482364,"post_covid"
2025-07-01,200244,208932.232658451,"post_covid"
2025-08-01,198235,194531.705476767,"post_covid"
2025-09-01,158971,150453.750271422,"post_covid"
2025-10-01,165193,157526.519104539,"post_covid"
2025-11-01,212906,207598.329422861,"post_covid"
2025-12-01,258928,269670.960303632,"post_covid"
