"ds","predicted","yhat_lower","yhat_upper","model"
2026-01-01,277068.701792049,267291.782760714,287114.756981911,"post_covid_m3"
2026-02-01,275653.111728136,265691.221581351,286373.320560582,"post_covid_m3"
2026-03-01,273586.462595249,263188.649125561,284779.832624365,"post_covid_m3"
2026-04-01,200953.406965395,189555.151193328,211847.484982276,"post_covid_m3"
2026-05-01,144231.03035376,133337.37421871,154833.457837176,"post_covid_m3"
2026-06-01,159612.214079782,147825.846448144,171893.802811145,"post_covid_m3"
2026-07-01,232024.845563699,216437.286256512,247973.849139321,"post_covid_m3"
2026-08-01,220002.622072645,203665.657409618,236676.68641147,"post_covid_m3"
2026-09-01,173511.865539672,158691.10324167,190246.668809577,"post_covid_m3"
2026-10-01,175178.924316281,156357.08517039,193363.374335947,"post_covid_m3"
2026-11-01,230077.751961868,206134.560788516,253240.148038787,"post_covid_m3"
2026-12-01,303497.656728987,267502.63670927,338269.47967719,"post_covid_m3"
